Name,Phone,Email
Mabel Lake Farms,(250) 838-6248,mabellakefarms@gmail.com
Mabel Lake Golf & Airpark,(250) 308-8277,blairlaursen@mabellakegolf.com
Mackie Lake House Foundation,(250) 545-1019,info@mackiehouse.ca
Madison's Pet Grooming,(250) 307-6329,madisongroom@live.ca
Mainland Sleep Clinic,,info@mainlandsleep.ca
Makasoff Construction,(250) 308-9900,mgmcon@telus.net
Mara Cottage Campground,(250) 307-8002,maracottagecampground@gmail.com
Maria Rose Bed & Breakfast,(250) 549-4773,mariarosebb@gmail.com
Mark Nich Real Estate,(250) 309-1810,info@marknich.com
Masiero Pizzeria Napoletana,(778) 943-2019,info@masiero.ca
Massage Therapy Lake Country,(250) 766-2542,rmtlakecountry@gmail.com
Matchett Construction,(250) 938-9831,bjmatchett@gmail.com
Maven Lane,(250) 558-9963,ed@mavenlane.org
MC Creations,(250) 503-7866,info@mccreations.ca
McCaw's Drilling & Blasting Ltd,(403) 845-3101,info@mccawsdrilling.com
Mel's Pizza,(250) 838-6710,melsmainstreet@gmail.com
Melvin Orr Construction,(250) 546-6972,info@vernonconstruction.ca
Meridian Rehabilitation Consulting Inc,(250) 542-3089,info@meridianrehab.ca
Michelle Cornish,(778) 442-2515,support@clarity.fm
Midtown Bistro,(250) 308-7477,hmidtownbistro@gmail.com
Mighty Mouse Daycare Inc,(250) 503-0851,mightymousedaycare@gmail.com
Mike Amies,(250) 241-5675,mike.amies@gmail.com
Mirror Image Building Maintenance,(250) 979-8369,contact@resizepixel.com
MJK Plumbing & Heating,(250) 306-8376,mjkplumbheat@gmail.com
Mobilawn Landscape & Lawn Care,(250) 307-1861,info@mobilawn.com
Modulux Design Ltd,(250) 766-3053,info@moduluxdesign.com
Mona Vision Inc,(250) 766-0555,mona.vision@gmail.com
Monashee Aquifer Testing & Well Pumps,(250) 572-6709,office@monasheeaquifertesting.ca
Monashee Arts Council,(778) 473-3029,monasheeartscouncil@gmail.com
Monashee Community,(778) 473-2230,monasheecommunitycoop@gmail.com
Monashee Fitness Inc,(250) 547-2014,reception@monasheefitness.com
Monashee Health Collective,(250) 540-5818,hello@monasheehealthco.com
Monashee Mews,(778) 473-0100,info@agecare.ca
Monashee Optometry,(250) 550-1124,reception@monasheeoptometry.ca
Monashee Powder Snowcats Inc,(250) 545-0661,info@monasheepowder.com
Money Concepts,(250) 542-7181,sales@incrypted.com
Motionwave Group Ltd,(778) 990-6300,colin@motionwavegroup.com
Mountain Home Services,(844) 543-5261,info@mountainhomeservices.ca
Moxy HR Inc,(250) 804-6655,info@moxyhr.ca
MQN Architects,(250) 542-1199,info@mqn.ca
Mr Mikes,(236) 426-4436,vernon@mrmikes.ca
Museum and Archives of Vernon,(250) 542-3142,gwyn.evans@vernonmuseum.ca
My Big Fat Greek Food Truck,,info@mybigfatgreekfoodtruck.com
My Chef,,info@mychefmealprep.ca
My Harmony Wellness,(778) 506-2412,info@myharmony.ca
Nagy Cylinder Rebuilding,(250) 547-9395,admin@nagycylinder.com
Nanimahoo Native Art Gallery,(250) 804-5365,audreynanimahoo@gmail.com
New Golden Crown Restaurant,,info@guidetodiningout.ca
New Horizon Productions,(250) 762-6775,info@nhpav.com
Nexus/WorkBC,(250) 838-2324,sarah@nexusbc.ca
Nick Renton - William Wright Commercial,(778) 584-5308,office@realeswp.com
Nixon Earthworks,,admin@nixonearthworks.com
Noah's Pro Painting,(778) 821-2559,noahspropaint@gmail.com
Noble Yoga Studio,(778) 475-5556,hello@nobleyoga.studio
Nokomis Landscaping Ltd,(250) 938-5225,nokomis.landscaping@gmail.com
North Okanagan Community Life Society,(250) 545-5153,admin@nocls.com
North Okanagan Junior Academy,(250) 546-8330,office@noja.ca
North Okanagan Orthodontic Clinic,(250) 542-4118,info@northokanaganortho.com
North Okanagan Skin & Laser,(250) 542-2721,info@nosl.ca
North Okanagan Smile Design Dental Centre,(250) 838-2417,info@northokanagansmiledesign.ca
North Okgn Construction Ltd.,(250) 550-9412,office@nokgnconstruction.ca
North Valley Contracting Ltd,(250) 540-3001,info@northvalleycontracting.com
Norval Arena,,admin@wanderlog.com
Novalux Designs,(778) 938-7734,info@novaluxdesigns.ca
Nurturing Nature Organics Inc,(250) 766-1123,info@nurturingnature.ca
Nuvel Skin and Laser,(250) 503-1960,info@nuvelmd.ca
O'Rourke's Peak Cellars,,info@peakcellars.com
OK Supreme Roofing & Painting,(778) 946-0672,info@oksupreme.ca
Okanagan Affordable Rentals Inc,(250) 558-8156,okanaganaffordablerentals@gmail.com
Okanagan Assured Bookkeeping,(250) 547-2139,m_c@okassured.ca
Okanagan Bake House,(236) 426-2422,info@okbakehouse.com
Okanagan Christadelphians,,okanaganchristadelphians@gmail.com
Okanagan Exteriors Inc,(250) 826-1595,okanaganext@gmail.com
Okanagan Flower Spot Ltd,(250) 549-0896,info@theflowerspot.ca
Okanagan Geothermal Ltd,(250) 838-0809,info@okanagangeothermal.net
Okanagan Glamping Co,(250) 241-2552,okanaganglamping@gmail.com
Okanagan Insulation Services,(250) 491-5818,info@okinsulation.ca
Okanagan Landscape Developments,(250) 938-1609,info@peacocklandscaping.ca
Okanagan Learning Foundation,(250) 550-7474,stephanie@oklearns.com
Okanagan Printing,(250) 546-3121,info@okanaganprinting.com
Okanagan Recreation Rentals,(250) 549-3613,info@okanaganrecrentals.com
"Okanagan Regional Library, Enderby Branch",(250) 838-6488,enderby@orl.bc.ca
Okanagan Respite and Senior Services,(250) 938-0745,info@okanaganseniorservices.com
Okanagan Sage Wellness Group Therapy,(778) 475-0252,oksagewellness@gmail.com
Okanagan Shade & Shutter Ltd,(250) 540-9656,info@okss.ca
Okanagan Skydive,(250) 542-4487,info@okanaganskydive.com
Okanagan Spring Brewery,(250) 542-2337,info@okspring.com
Okanagan Tax & Business Services,(250) 545-5512,info@oktax.ca
Okanagan Valley College of Massage Therapy,(250) 558-3718,info@ovcmt.com
Okanagan Valley Painting Services Ltd,(250) 832-5995,ovps@xplornet.ca
OKGN Property and RV Maintenance,,okgnproservices@outlook.com
OKIB Group of Companies,(250) 545-4328,info@okibgc.ca
OKV Electrical Ltd,(250) 540-6894,admin@okvelectric.ca
Olameter Inc,(250) 503-5469,recruiting@olameter.com
Olive Us Oil & Vinegar Tasting Room,(250) 260-2880,info@oliveusoils.com
On Point Construction And Forming Ltd.,(250) 307-7903,info@opcf.ca
One Step Foot Care Inc,(250) 938-3668,info@onestepfootcare.com
"Oscar Barnes, Barrister & Solicitor",(250) 766-0660,reception@obarneslaw.com
Osprey Solutions,(778) 910-0756,service@osprey.solutions
Outbackjacks Horse Rescue Thrift Store,(250) 438-0062,support@adoptdont.shop
Owl Painting Company,(778) 994-2169,owlpaintingco@gmail.com
O’Connell Enterprises,(250) 253-4823,joanne@oconnellenterprises.ca
Painted Ladies Vernon,(250) 309-7922,paintedladiesvernon@gmail.com
Paradise Lodge,,econolodge.vernon@gmail.com
Paraglide Canada,(250) 899-3683,info@paraglidecanada.com
Paramount Glass Solutions,(250) 838-7983,info@paramountglasssolutions.ca
Parhelia Massage Therapy Corporation,(250) 814-7690,info@parheliamassage.com
Pawsome Walks Brigade Dog Walking,(250) 540-7577,pawsomewalksbrigade@gmail.com
Peace Mediation Services,(778) 888-4119,julieannebond@hotmail.com
Peak Cellars & Garden Bistro,(250) 766-9922,events@peakcellars.com
Peak Law Group LLP,(604) 210-8066,info@peaklaw.ca
Pelvià Physiotherapy,(778) 475-4886,pelviaphysiotherapy@gmail.com
Perfect Line Painting,(778) 212-5190,lacassepainting@gmail.com
Petawatts Auto Marine RV LTD,(778) 692-3024,info@petawatts.ca
PHOENIX Stretch Ceilings,(250) 212-9921,info@v6b.com
Phreeagent Creative,(250) 307-3713,info@phreeagent.com
Pickleball Depot Ltd,(250) 550-5280,sales@pickleballdepot.ca
Piers Partners and Resources,(236) 426-3838,info@pierspartners.ca
Pilgrims Produce,(250) 546-3669,pilgrimscsa@gmail.com
Pivot RX,(250) 503-2350,info@pivotrx.ca
Pizza Pizza,(236) 426-2027,feedback@pizzapizza.ca
Pleasant Valley Painters INC,(250) 550-8318,bookings@pvpainters.ca
Polson Park Motel,(250) 549-2231,polsonparkmotel@gmail.com
Powerhouse Theatre,(250) 549-7469,info@powerhousetheatre.net
Prairie Crane Inc,(250) 253-6669,sales@prairiecrane.com
Premier Pool and Spa,(778) 475-5646,info@premiumpoolandspa.ca
Premier Rollshutter Manufacturing Inc,(877) 289-3989,info@prmi.ca
Pretium Group,(250) 308-9562,info@pretiumcapitalgroup.ca
Prima Contracting Inc,(604) 557-6400,info@primaeng.com
Printer World International Inc,(250) 542-4000,info@printerworld.com
Progression Muscle Bone and Joint,,reception@progressionmbj.ca
Project Plus Strategies Inc,(867) 689-2227,jody@projectplusstrategies.com
Prospera Credit Union,(250) 550-7500,info@prospera.ca
Prt Coldstream,(250) 545-0638,info@prt.com
Quality Roofing,,nailedit@energyeconomics.ca
Rad Energy Electric Ltd,(250) 306-4868,info@radenergyelectric.com
Rain Wellness,(778) 475-7246,info@rainwellness.com
Raising Stars Preschool Ltd,(250) 938-7264,info@raisingstarspreschool.ca
Rancho Vignola,(250) 546-3343,info@ranchovignola.com
Raven Hair Studio,(250) 542-4219,ravenhairstudiovernon@gmail.com
RE/MAX Priscilla,(800) 317-1118,info@okanaganhomes.com
Red Apple,(250) 546-2928,info@redapplestores.com
Red Road Recovery Ltd,(289) 221-1084,contact@redroadrecovery.com
Reico Construction,(250) 540-2533,info@reicoconstruction.com
Relate Janitorial Services Inc,(250) 540-4851,booking@relatejanitorial.com
Restoration Lands Inc,(800) 208-3439,info@restorationlands.com
Revolution RV,(250) 838-7861,revolutiontrailerservices@gmail.com
Rhythm Productions,(250) 938-2978,info@rhythmproductions.ca
RISE Gymnastics Academy,(250) 241-7473,info@risegymacademy.com
Riverfront Pub,(250) 503-6361,riverfrontpub@hotmail.com
Rivers Breeze Cottage Retreat,(250) 803-1800,riversbreezeretreat@outlook.com
Riverside RV Park & Campground,(250) 838-0155,info@enderbycamping.com
Robot House Automation,(250) 545-4786,info@robothouse.net
Rockwell Audiology Inc,(250) 545-2226,info@cshhpbc.org
Rocky Mountain Concrete,(250) 547-6644,sales@rockymountainconcrete.ca
Rogers Foods,(250) 546-8744,sales@rogersfoods.com
Rogers John Lepage,(250) 503-3996,davidsteenkamp@royallepage.ca
Roko Service Ltd.,(250) 542-5344,support@rokoservice.com
Rooksby Residential,,rooksbycontracting@gmail.com
Room Collection (The),(250) 260-6161,info@theroomcollection.ca
Roots & Rascals Children's Boutique,(250) 463-3464,rrboutique11@outlook.com
Rose City Wellness,(778) 475-7888,info@rosewellness-vernon.com
Rotech Motor Ltd,(250) 260-6299,sales@rotechmotor.ca
Rowe Kelly,(250) 260-0329,krowe@lendingmax.ca
Royal Canadian Legion,,rcl167bc@shaw.ca
Royal Canadian Legion Branch #35,(250) 546-8455,legion35meatdraw@gmail.com
Royal Candian Legion,(250) 547-2338,info@legionbcyukon.ca
Royal Garden,(250) 545-7866,royalgardenvernon@gmail.com
Royalty Painting,(250) 307-5803,royaltypainters@gmail.com
RSB Custom Cruisers,(250) 308-8578,support@topcompanies.ca
S & P Financial Services Inc,(250) 546-0244,info@vernonchamber.ca
S P Seymour Ltd,(844) 279-8561,spseymour1893@gmail.com
Saffron Touch Indian Cuisine,(250) 545-6558,info@saffrontouch.ca
Sage Environmental Consulting Inc,(250) 307-7365,admin@sageenvironmental.ca
Sandman Hotel & Suites,,info@sandman.ca
Sarah Smith Media,(604) 902-2935,info@sarahsmithmedia.ca
SASCU (Salmon Arm),(250) 832-8011,andrewvandokkumburg@sascu.com
SASCU (Shuswap Insurance),(250) 838-7707,info@sascu.com
Satoca Bike,(778) 943-1487,info@satocabike.com
Saucies 27 Pizza,(236) 426-0995,orders@saucies27.com
Saunders Painting & Decorating,(250) 766-9379,j.saundersdecorating@gmail.com
Scenic Valley Stoneworks,(250) 542-1075,sales@svstoneworks.com
Scentodore,(236) 550-7456,info@scentodore.com
Sea Stars Kids Boutique,(778) 442-1717,seastarskidsboutique@gmail.com
Select Roofing,(250) 308-8666,sales@selectroofers.ca
Self Care Is Sacred Integrated Health,(236) 426-1188,selfcareissacred@gmail.com
Sentinel Storage,(250) 542-9912,reservations@sentinel.ca
Setanta Landscapes Ltd,(778) 223-6845,setantalandscapes@gmail.com
Sharina Zantingh Physiotherapy,(250) 307-6670,sharinaphysiotherapy@gmail.com
Shepherd's Outdoor Living Centre,(250) 546-3002,info@shepherdshardware.ca
Shikaze Chiropractic,(250) 542-7878,shikazechiropractic@gmail.com
Showcase,(250) 545-1151,support@shopatshowcase.com
Silver Sage Stables,,support@placedigger.com
Silver Springs Seniors Community,(250) 545-3351,generalmanager@silverspringsvernon.ca
Silver Star Line Marking,(236) 599-8048,info@silverstarlinemarking.ca
Silver Star Motel,(250) 545-0501,bookings@silverstarmotel.com
Silverhill Nursery,(250) 513-0833,info@silverhillnursery.ca
Silverrock Land Corp,(250) 558-0999,admin@silverrockcorp.com
Skeena Specialty Grocers,,info@skeenaspecialtygrocers.ca
SKG Cleaning Solutions,(250) 540-0769,info@skg.net.au
Skyride,(250) 260-6777,info@skyride.ca
Small Scale Meat Producers Association,,info@smallscalemeat.ca
Snap Fitness Vernon,(778) 475-5668,inquiries@snapfitness.com
Snowcap Interior Food Services,(250) 546-8781,inquiries@snowcapinterior.com
Societe De Developement Economique De La Colombie-Britannique,(604) 732-3534,info@sdecb.com
Solar Roofing,(250) 558-9366,info@solarroofingbc.com
Solutions Pest Control,(250) 945-9877,office@pestsolutions.ca
Southward Medical Supplies,(250) 542-3334,info@southwardmedicalsupplies.ca
Sovereign Lake Nordic Club,(250) 558-3036,admin@sovereignlake.com
Sparks on 6,(250) 547-6122,sparksonsix@gmail.com
Spartan Drycleaning / ATAR Services Inc,(250) 766-2374,info@atarservices.com
Sperlich Log Construction Inc,(250) 838-7455,canadianpridelt@gmail.com
Spidex All Terrain Excavating,(250) 862-1651,contact@spidex.ca
Spirit Lodge at Silver Star,(250) 545-1717,admin@spiritlodgesilverstar.com
Splash N Dash Car Wash,(250) 938-1378,info@splashndasharmstrong.com
Splashdown Vernon,(250) 549-4121,info@splashdown.ca
Splatsin Development Corp/Quilakwa Investments Ltd,,grahame.go@splatsindc.com
Splatsin Development Corporation,(250) 838-0775,info@splatsindc.com
Splatsin Teaching Center,,tsm7aksaltnsociety@gmail.com
Sproing Solutions,,hello@sproing.ca
SS Automotive Refinishing,(778) 475-6167,sales@binks.com
St. Josephs Catholic Church,(250) 546-8215,info@rcdk.org
Stag's Head Liquor Store,(778) 442-4564,giantsheadbrewing.sales@gmail.com
Standeven Logistics,(250) 307-2188,info@standevenlogistics.com
Steelback Trailers Mfg Ltd,(250) 826-1488,steelbacktrailers@gmail.com
Sterling Appraisals,(250) 309-8111,info@sterlingappraisals.ca
Stone Waters Travel,(236) 970-5668,info@stonewaterstravel.com
Stonehaus Realty,(250) 938-0132,reception@stonehausrealty.ca
Studio 309,(250) 938-5063,info@studiothreezeronine.com
Sun City Physiotherapy,(250) 766-2544,reception_gm@suncityphysiotherapy.com
Sundance Martial Arts Ltd,(250) 306-2285,info@sundancemartialarts.com
Sunfire Systems,(250) 550-0133,info@sunfiresystems.ca
Sunridge Veterinary Clinic,(250) 545-8011,info@sunridgevet.ca
Sunshine Autographics & Signs Inc,(250) 549-3200,info@sunshinegraphics.ca
Sunward Solar,(604) 614-7130,info@sunwardsolar.ca
Super Save,(250) 545-4505,sales@supersave.ca
Sutherland's,(250) 838-7234,gregmccune@telus.net
Svice Online Marketing,(250) 896-2092,info@svice.ca
Swanson Mountain Fitness,(250) 306-6568,swansonmountainfitness@gmail.com
Sweet Iron Café Ltd,,contact@foodeist.com
Sweets Bridge Farm,(250) 379-2450,sweetsbridgefarm@gmail.com
Synergist Media,(778) 475-6000,sales@synergistmedia.com
SysGen Solutions Group,(403) 608-6250,info@sysgen.ca
T-Bones Fresh Meal Market,(250) 763-5966,tbones3kelly@gmail.com
"Taves, Dr. Ken  Inc",(250) 550-1120,reception@tavesdental.ca
TBC (Turtle Bay Crossing) Liquour Merchants,(778) 480-6646,tbc@liquormerchantsgroup.com
Telus Custom Security Systems,(250) 545-4100,info@alarm.com
TGC Consulting Ltd,(250) 766-4110,admin@tgcconsulting.com
The Boarding House Café,(250) 545-0117,theboardinghousecafe@gmail.com
The Boutique,(250) 540-2649,nfo@polishedmercantile.com
The Bridge Educational Society,(250) 547-9212,info@bridgeeducational.org
The Clove,,theclovearmstrong@gmail.com
The Collar Club Pet Daycare,(250) 241-5833,collarclubvernon@gmail.com
The Fancy Induced Burger & The Go Grill,(877) 596-0804,info@tfib.ca
The Frayed Page,(250) 540-5073,info@thefrayedpage.ca
The Good Food Box Society of the North Okanagan,,orders@goodfoodbox.ca
The Greenway Roofing Company,(250) 309-0874,mooreroofingwithsteve@gmail.com
The Interface Financial Group,(250) 550-3964,info@interfacefinancial.com
The Landing At Wood Lake,(250) 826-3623,info@rightsizingmedia.com
The Lighthouse Medical Clinic,(250) 545-2552,contact@example.com
The Med Restaurant,(250) 558-4646,info@themedvernon.com
The Nest,(604) 250-8541,info@thehealthnest.ca
The Phoenix Steakhouse,(250) 260-1189,thephoenixsteakhouse@gmail.com
The Roster Sports Club Bar & Grill,(250) 549-0444,info@rostersvernon.com
The Royal Canadian Legion Branch 25,(250) 558-8318,contact@vernonlegion.com
"The Rusty Spur Farm, Feed & Pet",(250) 547-9506,sales@rustyspur.ca
The Salty Caramel Kitchen,(250) 766-2712,saltycaramelkitchen@gmail.com
The Sign Post Guy,(250) 808-0730,signpostguy@gmail.com
The Small Axe,(778) 443-2010,smallaxeroadhouse@gmail.com
The Starting Block,(250) 541-9232,info@startingblock.ca
The Village of Lumby,(250) 547-2171,info@lumby.ca
Three Lakes Medical Clinic,(250) 542-1353,admin@threelakesmedical.com
Tidal Elements Healing Arts Studio,(250) 306-9283,reception.tidalelements@gmail.com
Tiki Village Inn,(250) 503-5566,info@tikivillagevernon.com
Tirecraft Armstrong,(250) 546-9491,djohnson@grtouchette.com
To The Hedge Landscape Services,(778) 835-8929,info@tothehedge.ca
Tom Harris Cellular Ltd,(250) 545-8848,contact@shopping-canada.com
Tommy's Windows & Doors,(778) 475-3772,sales@newtownwindows.ca
Tony's Craft Cider Company,(778) 790-0833,tonyscraftcidery@gmail.com
Tony's Tire Service (Kal Tire),(250) 838-7226,taiya_smith@kaltire.com
Torchcraft Roofing,(778) 475-5606,torchcraftroofing@gmail.com
Trinity Valley Long Range,(250) 547-9402,trinitylongrange@gmail.com
True Fit Welding & Fabricating,(250) 546-3159,info@royalwelding.com
TruFinity Plumbing Heating & Cooling,(778) 721-8375,service@trufinity.ca
Turner Exteriors,(250) 309-7632,sales@streamlineexteriors.ca
Turtle Bay Marina Boat Rentals,(250) 766-3120,reservations@turtlebaymarina.com
Turtle Bay Physiotherapy Inc,(250) 766-0360,info@turtlebayphysio.ca
Turtle Bay Pub,(250) 766-4534,info@turtlebaypub.com
Tutor Tech Computers,(250) 547-0042,info@tutortech.ca
Twin Creeks Motel,(250) 547-9221,twincreeks.reservations@gmail.com
Two Donkeys Bakery,(236) 509-7025,info@twodonkeysbakery.ca
UBC Okanagan,(250) 545-3390,derek.gratz@ubc.ca
UBR Services Printing & Copies,(250) 766-1098,info@ubrservices.ca
Uprooted Kitchen & Catering Co,(778) 214-3289,info@uprootedkitchen.ca
Ursus Heritage Consulting Ltd,(250) 938-4662,fraser@ursus-heritage.ca
Valley Canine,(250) 540-0094,valleycanine@hotmail.com
Valley First,(250) 541-5601,info@kelownahomes.ca
Vance Creek Hotel & Conference Centre,(250) 549-5191,info@skisilverstar.com
Vanna King - Sunlite Mortgage,(250) 574-9969,vanna.king@sunlitemortgage.ca
VantageOne Credit Union Commercial Centre,(250) 545-9251,info@vantageone.net
"Vernon Air Conditioning, Plumbing & Electrical Services",(778) 403-7886,info@vernonairconditioning.com
Vernon Beauty Bar Ltd,(236) 426-3666,thebeautybarvernon@gmail.com
Vernon Catering and Hospitality,(250) 306-2181,info@vernoncatering.ca
Vernon Christian School,(250) 545-7375,info@vcs.ca
Vernon Dental Centre,(250) 542-1179,reception@vernondentalcentre.com
Vernon Dental Excellence,,vernondentalexcellence@gmail.com
Vernon Denture Clinic,(250) 542-9117,admin@vernondentureclinic.com
Vernon Family Dental,(250) 542-3023,info@vernonfamilydental.ca
Vernon Farmers' Market,(250) 351-5188,vfm.vernonfarmersmarket@gmail.com
Vernon Flower Shop,(250) 545-2181,vernonflowers.bc@gmail.com
Vernon Hyundai,(855) 887-6873,reception@vernonhyundai.com
Vernon Jubilee Hospital Foundation,(250) 558-1362,info@vjhfoundation.org
Vernon Neighbourhood Welcome,(250) 309-4487,accounting@neighbourhoodwelcome.org
Vernon Optometry,(250) 542-4217,reception@vernonoptometry.ca
Vernon Pickleball Association,(250) 549-0378,vernonpickleball@gmail.com
Vernon Spider Control,(250) 938-2991,vernonspidercontrol@gmail.com
Vernon Towing,(250) 545-2311,admin@vernontowing.ca
Vernon Voltage and Gas Fitting Ltd,(250) 351-9879,info@vernonvoltage.ca
Vernon Websites,(250) 308-7545,mike@vernonwebsites.com
Vike Bikes,(778) 392-5655,kylanvike@gmail.com
Village Green Shopping Centre,(250) 545-3204,vgmmarketing@bgo.com
Vintage Chic Weddings & Events,(250) 503-8539,vintagechicweddings.events@gmail.com
Vinterra Wellness,(587) 742-8627,info@vinterrawellness.ca
Vision Garage Doors,(250) 309-7133,info@visiondoors.ca
Voyager RV Centre Ltd,(800) 668-1447,sales@voyagerrv.ca
Vuuren Construction LTD,(250) 306-1185,amos@73logistics.com
Wales Equine Veterinary Services Ltd,(250) 258-2299,office@walesequine.com
Wangler Mobile Mechanic Services Ltd.,(250) 503-8090,support@clickmechanic.com
Wayside Press Ltd,(250) 545-2341,sales@waysideco.ca
Wells Gray Tours Ltd,(250) 545-9197,info@wellsgraytours.com
Westridge Quarries Ltd,(250) 546-8800,info@westridgerock.com
Westwood Cabinetry,(250) 212-1181,info@westwoodcabinetry.com
Whib's Gym Inc,(250) 838-6555,info@whibsgym.com
White House Mortgages - Deb White,(250) 545-2202,deb@debwhite.ca
White Line Professional Driving School Inc,(250) 351-9300,info@okdriving.ca
White Valley Veterinary Services,(250) 547-9700,info@whitevalleyvet.ca
Whitevalley Community Resource Centre,(250) 547-8866,info@whitevalley.ca
Wholesale Grafix Distribution & Signage Ltd,(250) 260-3100,info@wholesalegrafix.com
Wild Antho,(250) 309-5408,hello@wildantho.com
Wild Dahlia Salon,(778) 475-9279,wilddahliasalon@gmail.com
Wild Goose Technologies Ltd,,kgoose789@gmail.com
Wild Realty,(250) 307-8455,ace@wildrealty.ca
Willow Clinic,,contact@willowclinic.ca
Wood Lake RV Park and Marina,(250) 766-1881,info@woodlakerv.com
Wood Mountain Naturals Pet Products,(778) 594-7387,info@woodmountainnaturals.com
Woodstyle Homes Ltd,(250) 558-9765,woodstyle@telus.net
World Trade Centre Okanagan,(778) 996-9228,info@wtcokanagan.com
Worx Services,(604) 764-9548,info@worxservices.ca
Xced Plumbing Heating A/C,(236) 599-5777,info@xcedplumbing.com
Xcel Advisory Group,(250) 869-2419,support@bebee.com
Yankee Flats Meats,(236) 873-6328,yfmeats@gmail.com
Yenin.art Studio,(250) 241-8841,nick-manager@yenin.art
Zakreet Barbershop,(250) 463-3105,zakreet.barbershop@gmail.com
Zelaney Farms,(250) 549-2436,info@zelaneyfarms.ca
